,Tintas ou materias aparentadas,Adesivos contendo um liquido i,Aerossois,Resina em solucao,Diisocianato de toluileno,Materia perigosa do ponto de v,Liquido inflamavel n.s.a.,Argon liquido refrigerado,Materia perigosa do ponto de v,Nitrobenzeno
Oriente (Parque das Nações),0.585,0.574,0.608,0.562,0.458,0.458,0.562,0.583,0.458,0.499
Braço de Prata,0.378,0.372,0.393,0.363,0.296,0.297,0.364,0.378,0.297,0.323
Marvila,0.413,0.405,0.429,0.397,0.323,0.323,0.397,0.412,0.323,0.352
Chelas,0.481,0.473,0.5,0.463,0.377,0.377,0.463,0.48,0.377,0.411
Olaias,0.55,0.541,0.572,0.529,0.431,0.431,0.529,0.549,0.431,0.47
Roma–Areeiro,0.653,0.642,0.679,0.628,0.512,0.512,0.628,0.652,0.512,0.558
Entrecampos,0.688,0.676,0.715,0.661,0.539,0.539,0.661,0.686,0.539,0.587
Sete Rios,0.653,0.642,0.679,0.628,0.512,0.512,0.628,0.652,0.512,0.558
Campolide,0.585,0.574,0.608,0.562,0.458,0.458,0.562,0.583,0.458,0.499
Alcântara-Terra,0.55,0.541,0.572,0.529,0.431,0.431,0.529,0.549,0.431,0.47
