ID,TIPO PRODUTO,QUANTIDADE (Kg),Nº ONU,Nº PERIGO,CLASSE,RAIO MINIMO,RAIO MAXIMO,RAIO INCENDIO,RISCO EXPLOSAO,OBSERVAÇÕES,ONU_NORM,ONU_LIMPEZA,CLASSE_NORM,CLASSE_LIMPEZA,CLASSE_DESC,PRODUTO_CANON
1646,Adesivos contendo um liquido inflamavel,8280.0,1133,33,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
1646,Resina em solucao,800.0,1866,33,3.0,50,300.0,800,True,,1866,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,resina em solucao
1646,Butanol,680.0,1120,30 ou 33,3.0,50,300.0,800,True,,1120,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,butanol
1646,Esteres n.s.a.,400.0,3272,30 ou 33,3.0,50,300.0,800,True,,3272,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,esteres n.s.a.
1646,Liquido inflamavel n.s.a.,190.0,1993,33,3.0,50,300.0,800,True,,1993,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1646,Solido organico inflamavel n.s.a.,25.0,1325,40,4.1,25,100.0,800,True,,1325,ok,4.1,ok,4.1 — Sólidos inflamáveis,solido organico inflamavel n.s.a.
1646,Acetona,320.0,1090,33,3.0,50,300.0,800,True,,1090,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,acetona
1646,Etilmetilcetona,320.0,1193,33,3.0,50,300.0,800,True,,1193,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,etilmetilcetona
1647,Liquido inflamavel n.s.a.,171.0,1993,33,3.0,50,300.0,800,True,,1993,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1647,Hipoclorito em solucao,7191.0,1791,80,8.0,50,,800,True,,1791,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,hipoclorito em solucao
1647,Isobutano,4.0,1969,30,3.0,100,800.0,1600,True,,1969,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,isobutano
1648,Tintas ou materias aparentadas as tintas,2614.0,1263,33,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
1648,Hidrocarbonetos liquidos n.s.a.,725.0,3295,33,3.0,50,300.0,800,True,,3295,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,hidrocarbonetos liquidos n.s.a.
1648,Sucedaneo de essencia de terebentina,660.0,1300,30 ou 33,3.0,50,300.0,800,True,,1300,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,sucedaneo de essencia de terebentina
1648,Isobutanol,170.0,1212,30,3.0,50,300.0,800,True,,1212,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,isobutanol
1648,Liquido corrosivo n.s.a.,800.0,1760,88,8.0,50,,800,True,,1760,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,liquido corrosivo n.s.a.
1648,Acetona,3.0,1090,33,3.0,50,300.0,800,True,,1090,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,acetona
1648,Liquido inflamavel n.s.a.,48.0,1993,33,3.0,50,300.0,800,True,,1993,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1648,Aerossois,132.0,1950,20,2.0,50,500.0,800,True,,1950,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,aerossois
1648,Materia perigosa do ponto de vista do ambiente liquida n.s.a,48.0,3082,90,9.0,50,,800,True,,3082,ok,9,recuperado major de '9.0' (provável Nº perigo na coluna),9 — Matérias e objetos perigosos diversos,materia perigosa do ponto de vista do ambiente liquida n.s.a
1648,"Produtos de conservação de madeira, liquidos",6.0,1306,33,3.0,50,300.0,800,True,,1306,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,"produtos de conservacao de madeira, liquidos"
1648,Adesivos contendo um liquido inflamavel,27414.0,1133,33,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
1648,Hidroxido de sodio em solucao,25.0,1824,80,8.0,50,,800,True,,1824,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,hidroxido de sodio em solucao
1649,Tintas ou materias aparentadas as tintas,778.0,1263,33,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
1649,Sucedaneo de essencia de terebentina,660.0,1300,30 ou 33,3.0,50,300.0,800,True,,1300,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,sucedaneo de essencia de terebentina
1649,"Destilados de petroleo, n.s.a.",740.0,1268,33,3.0,50,300.0,800,True,,1268,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,"destilados de petroleo, n.s.a."
1649,Liquido corrosivo n.s.a.,600.0,1760,88,8.0,50,,800,True,,1760,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,liquido corrosivo n.s.a.
1649,Liquido inflamavel n.s.a.,1250.0,1993,33,3.0,50,300.0,800,True,,1993,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1649,Etilmetilcetona,20.0,1193,33,3.0,50,300.0,800,True,,1193,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,etilmetilcetona
1649,Aerossois,16.0,1950,20,2.0,50,500.0,800,True,,1950,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,aerossois
1650,Argon liquido refrigerado,22540.0,1951,22,2.0,100,100.0,800,True,,1951,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,argon liquido refrigerado
1650,Liquido inflamavel n.s.a.,1050.0,1933,33,3.0,50,300.0,800,True,,1933,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1651,Liquido inflamavel n.s.a.,16496.0,1993,33,3.0,50,300.0,800,True,,1993,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1651,Tintas ou materias aparentadas as tintas,3960.0,1263,30 ou 33,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
1651,Isopropanol,160.0,1219,33,3.0,50,300.0,800,True,,1219,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,isopropanol
1651,Materia perigosa do ponto de vista do ambiente liquida n.s.a,150.0,3082,90,9.0,50,,800,True,,3082,ok,9,recuperado major de '9.0' (provável Nº perigo na coluna),9 — Matérias e objetos perigosos diversos,materia perigosa do ponto de vista do ambiente liquida n.s.a
1651,Resina em solucao,1000.0,1866,33,3.0,50,300.0,800,True,,1866,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,resina em solucao
1651,"Liquido corrosivo, inflamavel, nsa",200.0,2920,80,8.0,50,,800,True,,2920,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,"liquido corrosivo, inflamavel, nsa"
