ID,DATA,HORA PARTIDA,HORA CHEGADA,ORIGEM,DESTINO,Nº COMBOIO,QUANTIDADE TOTAL (Kg),OBSERVAÇÕES,HORA_PARTIDA_H,HORA_CHEGADA_H,ANO,DIA_SEMANA_NUM,DIA_SEMANA,ORIGEM_N,DESTINO_N
0019,1999-10-08,19:35:00,04:50:00,Leixoes,Alcantara,80160,4000.0,,19,4,1999,4,Sexta,Leixoes,Alcantara
0020,1999-10-22,19:35:00,05:31:00,Leixoes,Alcantara,80160,13850.0,Cloreto de metileno,19,5,1999,4,Sexta,Leixoes,Alcantara
0021,1999-10-29,19:35:00,04:50:00,Leixoes,Alcantara,80160,16000.0,,19,4,1999,4,Sexta,Leixoes,Alcantara
0022,1999-11-15,19:35:00,04:50:00,Leixoes,Alcantara,80160,56125.0,Tintas e Resinas = 19740 kg,19,4,1999,0,Segunda,Leixoes,Alcantara
0023,1999-11-16,19:35:00,04:50:00,Leixoes,Alcantara,80160,16000.0,,19,4,1999,1,Terça,Leixoes,Alcantara
0024,1999-11-26,19:35:00,04:50:00,Leixoes,Alcantara,80160,5000.0,Nitrocelulose plastificada em solucao,19,4,1999,4,Sexta,Leixoes,Alcantara
0025,1999-12-14,19:35:00,04:50:00,Leixoes,Alcantara,80160,24500.0,,19,4,1999,1,Terça,Leixoes,Alcantara
0026,1999-12-16,19:35:00,04:50:00,Leixoes,Alcantara,80160,2287.0,Liquido inflamavel n.s.a.,19,4,1999,3,Quinta,Leixoes,Alcantara
0027,1999-12-17,19:35:00,04:50:00,Leixoes,Alcantara,80160,2287.0,Liquido inflamavel n.s.a.,19,4,1999,4,Sexta,Leixoes,Alcantara
0028,2000-01-14,19:35:00,04:50:00,Leixoes,Alcantara,80160,1332.0,,19,4,2000,4,Sexta,Leixoes,Alcantara
0029,2000-02-02,21:17:00,07:42:00,Alcantara,Valencia do Minho,83610/11,19750.0,Materia perigosa do ponto de vista do ambiente liquida n.s.a.,21,7,2000,2,Quarta,Alcantara,Valencia Do Minho
0030,2000-02-17,19:35:00,04:50:00,Leixoes,Alcantara,80160,325.0,,19,4,2000,3,Quinta,Leixoes,Alcantara
0031,2000-03-02,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,21000.0,Compostos para detergentes,22,4,2000,3,Quinta,Alcantara,Leixoes
0001,1998-06-29,19:50:00,05:37:00,Leixoes,Alcantara,80152,35400.0,,19,5,1998,0,Segunda,Leixoes,Alcantara
0002,1998-06-30,19:35:00,02:07:00,Leixoes,Alcantara,80160,23600.0,,19,2,1998,1,Terça,Leixoes,Alcantara
0003,1998-07-09,19:35:00,02:07:00,Leixoes,Alcantara,80160/61,32000.0,,19,2,1998,3,Quinta,Leixoes,Alcantara
0004,1998-07-14,22:50:00,04:56:00,Alcantara,Leixoes,80610/11,120000.0,,22,4,1998,1,Terça,Alcantara,Leixoes
0005,1998-11-14,19:35:00,02:07:00,Leixoes,Alcantara,,812.0,,19,2,1998,5,Sábado,Leixoes,Alcantara
0006,1998-11-14,19:30:00,05:00:00,Leixoes,Alcantara,80160,,,19,5,1998,5,Sábado,Leixoes,Alcantara
0007,1999-01-07,19:35:00,02:07:00,Leixoes,Alcantara,80160/1,16000.0,,19,2,1999,3,Quinta,Leixoes,Alcantara
0008,1999-01-14,19:35:00,02:07:00,Leixoes,Alcantara,80160/61,1004.0,,19,2,1999,3,Quinta,Leixoes,Alcantara
0009,1999-03-05,19:35:00,02:07:00,Leixoes,Alcantara,80160/61,16000.0,,19,2,1999,4,Sexta,Leixoes,Alcantara
0010,1999-02-17,19:35:00,01:50:00,Leixoes,Alcantara,80160/61,24000.0,,19,1,1999,2,Quarta,Leixoes,Alcantara
0011,1999-03-03,19:35:00,02:07:00,Leixoes,Alcantara,80160,,,19,2,1999,2,Quarta,Leixoes,Alcantara
0012,1999-05-06,19:35:00,04:50:00,Leixoes,Alcantara,80160,6619.0,,19,4,1999,3,Quinta,Leixoes,Alcantara
0013,1999-06-02,19:35:00,04:50:00,Leixoes,Alcantara,80160,,,19,4,1999,2,Quarta,Leixoes,Alcantara
0014,1999-08-04,19:35:00,05:31:00,Leixoes,Alcantara,80160,,Cloreto de metileno,19,5,1999,2,Quarta,Leixoes,Alcantara
0015,1999-08-13,19:35:00,04:50:00,Leixoes,Alcantara,80160,21480.0,,19,4,1999,4,Sexta,Leixoes,Alcantara
0016,1999-09-01,19:35:00,04:50:00,Leixoes,Alcantara,80160,32640.0,,19,4,1999,2,Quarta,Leixoes,Alcantara
0017,1999-09-22,19:35:00,04:50:00,Leixoes,Alcantara,80160,36000.0,,19,4,1999,2,Quarta,Leixoes,Alcantara
0018,1999-09-27,21:17:00,07:42:00,Alcantara,Valenca,83610/11,43000.0,Estabilizado,21,7,1999,0,Segunda,Alcantara,Valenca
0032,2000-03-03,19:35:00,04:50:00,Leixoes,Alcantara,80160,27700.0,,19,4,2000,4,Sexta,Leixoes,Alcantara
0033,2000-03-10,19:35:00,04:50:00,Leixoes,Alcantara,80160,3165.0,,19,4,2000,4,Sexta,Leixoes,Alcantara
0034,2000-05-12,19:35:00,04:50:00,Leixoes,Alcantara,80160,3400.0,,19,4,2000,4,Sexta,Leixoes,Alcantara
0035,2000-05-17,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,19000.0,Materia perigosa do ponto de vista do ambiente liquida n.s.a.,22,4,2000,2,Quarta,Alcantara,Leixoes
0036,2000-06-12,19:35:00,04:30:00,Leixoes,Alcantara,80160,16000.0,,19,4,2000,0,Segunda,Leixoes,Alcantara
0037,2000-07-14,19:27:00,04:52:00,Leixoes,Alcantara,80160/61,9680.0,,19,4,2000,4,Sexta,Leixoes,Alcantara
0038,2000-07-28,19:27:00,04:52:00,Leixoes,Alcantara,80160/61,6400.0,,19,4,2000,4,Sexta,Leixoes,Alcantara
0039,2000-08-08,19:27:00,04:52:00,Leixoes,Alcantara,80160/61,4740.0,,19,4,2000,1,Terça,Leixoes,Alcantara
0040,2000-09-06,19:27:00,04:52:00,Leixoes,Alcantara,80160/61,820.0,,19,4,2000,2,Quarta,Leixoes,Alcantara
0041,2000-09-20,19:27:00,04:52:00,Leixoes,Alcantara,80160/61,14800.0,,19,4,2000,2,Quarta,Leixoes,Alcantara
0042,2000-09-29,19:27:00,04:00:00,Leixoes,Alcantara,80160,24650.0,,19,4,2000,4,Sexta,Leixoes,Alcantara
0043,2000-10-03,19:27:00,04:53:00,Leixoes,Alcantara,80160,8000.0,40 volumes com 200 kg cada,19,4,2000,1,Terça,Leixoes,Alcantara
0044,2000-10-03,22:45:00,04:36:00,Alcantara,Leixoes,80610,9000.0,,22,4,2000,1,Terça,Alcantara,Leixoes
